Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/22aa91e402d0fe1f,2014-04-11,Ramsey Nijem,Beneil Dariush,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/22aa91e402d0fe1f,2014-01-15,Ramsey Nijem,Justin Edwards,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22aa91e402d0fe1f,2013-08-17,Ramsey Nijem,James Vick,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/22d1e00e1aabb7c9,2006-02-04,Mike Whitehead,Keith Jardine,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c,2010-06-12,David Loiseau,Mario Miranda,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c,2009-04-18,David Loiseau,Ed Herman,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c,2006-09-23,David Loiseau,Mike Swick,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c,2006-03-04,David Loiseau,Rich Franklin,FALSE,FALSE,Unanimous Decision,5
http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c,2005-10-03,David Loiseau,Evan Tanner,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/22edaf53ad59a967,2012-01-20,Daniel Roberts,Charlie Brenneman,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22edaf53ad59a967,2011-06-26,Daniel Roberts,Rich Attonito,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22edaf53ad59a967,2011-04-30,Daniel Roberts,Claude Patrick,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/22edaf53ad59a967,2011-01-01,Daniel Roberts,Greg Soto,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/22edaf53ad59a967,2010-10-23,Daniel Roberts,Mike Guymon,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/22ee260735da0d58,2003-04-25,Richard Crunkilton,Hermes Franca,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23024fdfc966410a,2022-04-09,Gilbert Burns,Khamzat Chimaev,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23024fdfc966410a,2021-07-10,Gilbert Burns,Stephen Thompson,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23024fdfc966410a,2021-02-13,Gilbert Burns,Kamaru Usman,FALSE,FALSE,Knockout,3
http://www.ufcstats.com/fighter-details/23024fdfc966410a,2020-05-30,Gilbert Burns,Tyron Woodley,TRUE,FALSE,Unanimous Decision,5
http://www.ufcstats.com/fighter-details/23024fdfc966410a,2020-03-14,Gilbert Burns,Demian Maia,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/231926533134ec1f,2010-02-06,Justin Buchholz,Mac Danzig,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/231926533134ec1f,2009-09-16,Justin Buchholz,Jeremy Stephens,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/231926533134ec1f,2009-06-13,Justin Buchholz,Terry Etim,FALSE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/231926533134ec1f,2008-07-05,Justin Buchholz,Corey Hill,TRUE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/231926533134ec1f,2008-01-23,Justin Buchholz,Matt Wiman,FALSE,FALSE,Submission,1
